episode_index,seed,success,crash,out_of_bounds,length,task_return,train_return,variation
0,464507548,False,True,False,281,-0.6288340958766412,-6.248834095876504,0.4149172229296782
1,172674724,False,False,False,1000,95.53756155017767,75.53756155017962,5.690045849251464
2,163903425,False,False,True,365,-50.74448490646319,-58.04448490646313,0.8254759738632493
3,1019325551,True,False,False,389,236.5494841275737,228.76948412757355,0.5524551471667636
4,1629015762,True,False,False,520,245.75593862814145,235.35593862814125,0.8796926994379665
5,1449951718,False,False,False,1000,141.48594109465483,121.48594109465523,10.011540994800518
6,1892108963,False,True,False,507,-7.999438925637662,-18.139438925636924,0.6496058808079482
7,1353470719,True,False,False,431,210.99426749749105,202.3742674974915,0.7582420462602946
8,676069518,False,False,False,1000,116.35240811051477,96.35240811051781,15.48242049186385
9,1315085260,True,False,False,442,215.07940552611842,206.23940552611884,0.7385886573879192
10,1377954153,True,False,False,567,177.73204952583762,166.39204952583793,1.3371825195906946
